time,demand,price,soc,soh,v2g_flow
0.25,60.06995043794339,0.25832765690363124,48.1,99.99375,5.0
0.5,58.101986980942264,0.24159691909170605,48.1,99.99375,0.0
0.75,55.06016138531569,0.21336538536541888,48.1,99.99375,0.0
1.0,46.71952893305738,0.2261981478179611,48.1,99.99375,0.0
1.25,44.13668151195608,0.19454011001554514,48.1,99.99375,0.0
1.5,45.57527282669836,0.20058814583607376,48.1,99.99375,0.0
1.75,40.55409540620638,0.1897281286086057,48.1,99.99375,0.0
2.0,37.61584813040691,0.16436980289352884,48.1,99.99375,0.0
2.25,34.013349535703846,0.1576166427811035,48.1,99.99375,0.0
2.5,38.75220199381285,0.1511690487498129,48.1,99.99375,0.0
2.75,36.48418452578976,0.1423364867184373,49.35,99.99375,-5.0
3.0,32.117717214626325,0.15907462193114869,49.35,99.99375,0.0
3.25,33.63485705579646,0.12479300416009101,50.6,99.99375,-5.0
3.5,31.446483895743363,0.14261834539093668,51.85,99.99375,-5.0
3.75,22.851093636335154,0.14036910686816345,53.1,99.99375,-5.0
4.0,28.131616150542733,0.1033740269412517,54.35,99.99375,-5.0
4.25,21.263292075857628,0.12573189779781427,55.6,99.99375,-5.0
4.5,20.70188192270973,0.11288535209633074,56.85,99.99375,-5.0
4.75,25.603655149086222,0.10914730466608688,58.1,99.99375,-5.0
5.0,17.981279177579154,0.11745370742035412,59.35,99.99375,-5.0
5.25,24.226772335089066,0.11400207936143407,60.599999999999994,99.99375,-5.0
5.5,18.245570490654202,0.11456819275967642,61.849999999999994,99.99375,-5.0
5.75,16.13843982996623,0.1,63.099999999999994,99.99375,-5.0
6.0,19.90715833216216,0.1,64.35,99.99375,-5.0
6.25,17.647956200747103,0.1,65.6,99.99375,-5.0
6.5,22.493889869746642,0.1,66.85,99.99375,-5.0
6.75,23.715635841424245,0.10777962514378224,68.1,99.99375,-5.0
7.0,20.038266141336354,0.10184185333126644,69.35,99.99375,-5.0
7.25,23.278298887163437,0.10508894990531086,70.6,99.99375,-5.0
7.5,27.34302616304314,0.12608385126140198,71.85,99.99375,-5.0
7.75,28.88333425492582,0.11945034359636054,73.1,99.99375,-5.0
8.0,22.210786511150776,0.11050013676664468,74.35,99.99375,-5.0
8.25,23.61970915105269,0.1290253842933153,75.6,99.99375,-5.0
8.5,25.123107691707652,0.14635605358660422,76.85,99.99375,-5.0
